pubname,latitude,longitude,variable,value
Hammerton brewery,51.5431114,-0.115395252,19:00,0.75
the finsbury front,51.5718629,-0.096479736,20:00,0
the finsbury back,51.57200417,-0.096062384,20:00,0
the brownswood beer,51.56389624,-0.092998717,20:00,0
the coronet beer,51.55575805,-0.115432155,20:00,0
Famous Cock Tavern beer,51.54599272,-0.103755145,20:00,0
The Compton Arms beer,51.54345668,-0.102033984,20:00,0
The Edinboro Castle beer,51.53612298,-0.145124735,20:00,0
The Lord Stanley beer,51.54702709,-0.129727984,20:00,0
The Engineer beer,51.53994974,-0.150968973,20:00,0
The Lion And Unicorn beer,51.54817466,-0.138996827,20:00,0
The Colonel Fawcett back,51.54165061,-0.135901942,20:00,0
The Colonel Fawcett front,51.54182281,-0.13613188,20:00,0
The Abbey Tavern Pub beer,51.54581848,-0.141400881,20:00,0
The Scolt Head beer,51.5431957,-0.081540679,20:00,0
Myddleton Arms beer,51.54179996,-0.097511117,20:00,0
The Woodman beer,51.57792283,-0.147173871,20:00,0
The Princess Of Wales beer,51.54043443,-0.153888614,20:00,0
The Crooked Billet beer,51.56200256,-0.05718246,20:00,0
The Clapton Hart beer,51.55768688,-0.05664084,20:00,0
Royal Sovereign back,51.56251761,-0.063216417,20:00,0
Royal Sovereign front,51.56270628,-0.063254792,20:00,0
The Axe beer,51.56267488,-0.07177452,20:00,0
The Star by Hackney Downs beer,51.55305386,-0.057823233,20:00,0
The Park Tavern beer,51.56798359,-0.111090415,20:00,0
The Stags Head beer,51.53619417,-0.080803491,20:00,0
The Duke of Hamilton front,51.55878208,-0.177595517,20:00,0
The Duke of Hamilton back,51.55891685,-0.177572214,20:00,0
The Flask beer,51.56973082,-0.150946693,20:00,0.5
The Wrestlers front,51.57483758,-0.14995613,20:00,0
The Wrestlers back,51.57498652,-0.149668735,20:00,0
The Gatehouse beer,51.57134089,-0.150593922,20:00,0
The Queens beer,51.58081397,-0.121856631,20:00,0
The Great Northern Railway Tavern beer,51.58821102,-0.116349227,20:00,0
Mccaffertys beer,51.5840578,-0.116635974,20:00,0
Intrepid Bakers,51.58710929,-0.119765665,20:00,0
The Goodness Brewing Company beer,51.59298287,-0.114459272,20:00,0
The chequers beer,51.58364722,-0.026795303,20:00,0
Bank of friendship beer,51.55831626,-0.099057338,20:00,0
Queens arms beer,51.58256908,-0.013750419,20:00,0
Nags head beer,51.58409058,-0.010999653,20:00,0
Chesham arms beer,51.5474776,-0.050175731,20:00,0
Salpie&Liberty beer,51.59059446,-0.109118438,20:00,0
The Scolt Head,51.54321104,-0.081620717,20:00,0
The Stag,51.55333516,-0.161857874,20:00,0
The Gate,51.55482682,-0.165705414,20:00,0
Sir Richard Steele Pub and Dining,51.54687341,-0.159029812,20:00,0
The Freemasons Arms,51.55712667,-0.168751581,20:00,0
The Roebuck back,51.55395754,-0.167736466,20:00,0
The Roebuck front,51.55379343,-0.167540645,20:00,0
The Gipsy Queen,51.55088742,-0.1548363,20:00,0
Heathcote & Star,51.56562744,0.001892828,20:00,0
The Leyton Star,51.55408249,-0.004829438,20:00,0
The Birkbeck Tavern,51.5566454,-5.54e-05,20:00,0
Northcote Arms,51.56034423,-0.001775045,20:00,0
The Walnut Tree side,51.56984474,0.012747211,20:00,0
